Frames,Commands Sent,Bytes Transmitted,IV Num Reads,IV Bytes Read,IV Num Writes,IV Bytes Written,CP Num Reads,CP Bytes Read,CP Num Writes,CP Bytes Written,FV Num Reads,FV Bytes Read,FV Num Writes,FV Bytes Written,Pixels Mapped,Pixels Blended,PSNR,File Name,L1-Hit,L1-Miss,L1-Load,L1-Store,L1-Evict,L2-Hit,L2-Miss,L2-Load,L2-Store,L2-Evict,L3-Hit,L3-Miss,L3-Load,L3-Store,L3-Evict,Mem-Hit,Mem-Miss,Mem-Load,Mem-Store,Mem-Evict
240 , 480 , 266862564 , 240 , 750643200 , 0 , 0 , 480 , 2752358400 , 200410 , 248735520 , 201600 , 250214400 , 200343 , 259644528 , 62553600 , 0 , inf,../recordings/acmmm2011/./video/bourne-2-moderate.m4v,195052544,509466944,509908288,259644528,259693888,238144,509228800,509466944,259693888,259693888,496268800,12960000,509228800,259693888,12960000,12960000,0,12960000,12960000,0
240 , 450 , 600493497 , 225 , 1880064000 , 0 , 0 , 450 , 6893568000 , 149544 , 612532224 , 153000 , 626688000 , 145302 , 595156992 , 156672000 , 0 , inf,../recordings/acmmm2011/./video/captain-720.mov,23687168,1198157824,1221844992,595156992,595156992,3817472,1194340352,1198157824,595156992,595156992,599171072,595169280,1194340352,595156992,595156992,595169280,0,595169280,595156992,0
240 , 480 , 267080076 , 240 , 750643200 , 0 , 0 , 480 , 2752358400 , 200862 , 249414624 , 201600 , 250214400 , 200501 , 259849296 , 62553600 , 0 , inf,../recordings/acmmm2011/./video/bourne-10-action.m4v,194348672,510652352,510389824,259849296,260175488,155328,510497024,510652352,260175488,260170624,497537024,12960000,510497024,260170624,12960000,12960000,0,12960000,12960000,0
240 , 480 , 266340636 , 240 , 750643200 , 0 , 0 , 480 , 2752358400 , 200136 , 248739840 , 201600 , 250214400 , 199949 , 259133904 , 62553600 , 0 , inf,../recordings/acmmm2011/./video/bourne-13-dialog.m4v,193174080,511794560,510357440,259133904,260143040,33792,511760768,511794560,260143040,260134016,498800768,12960000,511760768,260134016,12960000,12960000,0,12960000,12960000,0
240 , 480 , 667213796 , 240 , 2005401600 , 0 , 0 , 480 , 7353139200 , 161952 , 663355392 , 163200 , 668467200 , 161471 , 661385216 , 167116800 , 0 , inf,../recordings/acmmm2011/./video/limitless-720.mov,311296,1329541120,1329852416,661385216,661385216,548864,1328992256,1329541120,661385216,661385216,667537408,661454848,1328992256,661385216,661385216,661454848,0,661454848,661385216,0
240 , 448 , 1347799648 , 224 , 4211343360 , 0 , 0 , 448 , 15441592320 , 151121 , 1392731136 , 152320 , 1403781120 , 145662 , 1342420992 , 350945280 , 0 , inf,../recordings/acmmm2011/./video/captain-1080.mov,46370816,2699831296,2746202112,1342420992,1342420992,7269376,2692561920,2699831296,1342420992,1342420992,1350057984,1342503936,2692561920,1342420992,1342420992,1342503936,0,1342503936,1342420992,0
240 , 480 , 1502296440 , 240 , 4512153600 , 0 , 0 , 480 , 16544563200 , 162712 , 1499553792 , 163200 , 1504051200 , 162374 , 1496438784 , 376012800 , 0 , inf,../recordings/acmmm2011/./video/limitless-1080.mov,571392,2999918592,3000489984,1496438784,1496438784,0,2999918592,2999918592,1496438784,1496438784,1503037440,1496881152,2999918592,1496438784,1496438784,1496881152,0,1496881152,1496438784,0
