Frames,Commands Sent,Bytes Transmitted,IV Num Reads,IV Bytes Read,IV Num Writes,IV Bytes Written,CP Num Reads,CP Bytes Read,CP Num Writes,CP Bytes Written,FV Num Reads,FV Bytes Read,FV Num Writes,FV Bytes Written,Pixels Mapped,Pixels Blended,PSNR,File Name,L1-Hit,L1-Miss,L1-Load,L1-Store,L1-Evict,L2-Hit,L2-Miss,L2-Load,L2-Store,L2-Evict,L3-Hit,L3-Miss,L3-Load,L3-Store,L3-Evict,Mem-Hit,Mem-Miss,Mem-Load,Mem-Store,Mem-Evict
240 , 232 , 33703576 , 116 , 3207168000 , 0 , 0 , 232 , 11759616000 , 27339 , 251956224 , 116000 , 1069056000 , 3581 , 33002496 , 267264000 , 0 , inf,../recordings/acmmm2011/./1920x1200/document.mov,188184576,913873920,1102058496,33002496,33002496,41510912,872363008,913873920,33002496,33002496,839360512,33002496,872363008,33002496,33002496,33002496,0,33002496,33002496,0
240 , 340 , 180386266 , 170 , 4700160000 , 0 , 0 , 340 , 17233920000 , 49753 , 458523648 , 170000 , 1566720000 , 19418 , 178956288 , 391680000 , 0 , inf,../recordings/acmmm2011/./1920x1200/email.mov,429171712,1316504576,1745676288,178956288,178956288,39969792,1276534784,1316504576,178956288,178956288,1087737856,188796928,1276534784,178956288,178956288,188796928,0,188796928,178956288,0
240 , 338 , 315097613 , 169 , 4672512000 , 0 , 0 , 338 , 17132544000 , 38645 , 356152320 , 169000 , 1557504000 , 34045 , 313758720 , 389376000 , 0 , inf,../recordings/acmmm2011/./1920x1200/digg.mov,504458240,1366804480,1871262720,313758720,313758720,65610752,1301193728,1366804480,313758720,313758720,985890816,315302912,1301193728,313758720,313758720,315302912,0,315302912,313758720,0
240 , 434 , 293347973 , 217 , 5999616000 , 0 , 0 , 434 , 21998592000 , 39027 , 359672832 , 217000 , 1999872000 , 31687 , 292027392 , 499968000 , 0 , inf,../recordings/acmmm2011/./1920x1200/desktop.mov,610747392,1681152000,2291899392,292027392,292027392,62697472,1618454528,1681152000,292027392,292027392,1317171200,301283328,1618454528,292027392,292027392,301283328,0,301283328,292027392,0
240 , 98 , 61110821 , 49 , 1354752000 , 0 , 0 , 98 , 4967424000 , 25083 , 231164928 , 49000 , 451584000 , 6557 , 60429312 , 112896000 , 0 , inf,../recordings/acmmm2011/./1920x1200/presentation.mov,139960320,372052992,512013312,60429312,60429312,10133504,361919488,372052992,60429312,60429312,299884544,62034944,361919488,60429312,60429312,62034944,0,62034944,60429312,0
240 , 368 , 189896360 , 184 , 5087232000 , 0 , 0 , 368 , 18653184000 , 26892 , 247836672 , 184000 , 1695744000 , 20508 , 189001728 , 423936000 , 0 , inf,../recordings/acmmm2011/./1920x1200/flickr.mov,855838720,1028907008,1884745728,189001728,189001728,70872064,958034944,1028907008,189001728,189001728,762136576,195898368,958034944,189001728,189001728,195898368,0,195898368,189001728,0
240 , 336 , 302585904 , 168 , 4644864000 , 0 , 0 , 336 , 17031168000 , 77541 , 714617856 , 168000 , 1548288000 , 32588 , 300331008 , 387072000 , 0 , inf,../recordings/acmmm2011/./1920x1200/maps.mov,308165632,1540453376,1848619008,300331008,300331008,46828544,1493624832,1540453376,300331008,300331008,1189838848,303785984,1493624832,300331008,300331008,303785984,0,303785984,300331008,0
240 , 430 , 548686975 , 215 , 5944320000 , 0 , 0 , 430 , 21795840000 , 73259 , 675154944 , 215000 , 1981440000 , 59268 , 546213888 , 495360000 , 0 , inf,../recordings/acmmm2011/./1920x1200/npr.mov,281475072,2246178816,2527653888,546213888,546213888,57515008,2188663808,2246178816,546213888,546213888,1640463360,548200448,2188663808,546213888,546213888,548200448,0,548200448,546213888,0
240 , 318 , 122554071 , 159 , 4396032000 , 0 , 0 , 318 , 16118784000 , 26293 , 242316288 , 159000 , 1465344000 , 13212 , 121761792 , 366336000 , 0 , inf,../recordings/acmmm2011/./1920x1200/xcode.mov,510697472,1076408320,1587105792,121761792,121761792,82120704,994287616,1076408320,121761792,121761792,860036096,134251520,994287616,121761792,121761792,134251520,0,134251520,121761792,0
240 , 342 , 317245803 , 171 , 4727808000 , 0 , 0 , 342 , 17335296000 , 61633 , 568009728 , 171000 , 1575936000 , 34218 , 315353088 , 393984000 , 0 , inf,../recordings/acmmm2011/./1920x1200/slideshow.mov,420939776,1470349312,1891289088,315353088,315353088,52782080,1417567232,1470349312,315353088,315353088,1086893056,330674176,1417567232,315353088,315353088,330674176,0,330674176,315353088,0
240 , 246 , 15932451 , 123 , 1912896000 , 0 , 0 , 246 , 7013952000 , 13832 , 71705088 , 123000 , 637632000 , 3002 , 15562368 , 159408000 , 0 , inf,../recordings/acmmm2011/./1440x900/document.mov,320162240,545576128,653194368,15562368,15562368,50583296,494992832,545576128,15562368,15562368,479430464,15562368,494992832,15562368,15562368,15562368,0,15562368,15562368,0
240 , 354 , 162751149 , 177 , 2752704000 , 0 , 0 , 354 , 10093248000 , 34816 , 180486144 , 177000 , 917568000 , 31161 , 161538624 , 229392000 , 0 , inf,../recordings/acmmm2011/./1440x900/digg.mov,608068928,776893696,1079106624,161538624,161538624,19905280,756988416,776893696,161538624,161538624,594904832,162083584,756988416,161538624,161538624,162083584,0,162083584,161538624,0
240 , 424 , 153524524 , 212 , 3297024000 , 0 , 0 , 424 , 12089088000 , 35502 , 184042368 , 212000 , 1099008000 , 29382 , 152316288 , 274752000 , 0 , inf,../recordings/acmmm2011/./1440x900/desktop.mov,691928576,925731712,1251324288,152316288,152316288,37267712,888464000,925731712,152316288,152316288,734094848,154369152,888464000,152316288,152316288,154369152,0,154369152,152316288,0
