Frames,Commands Sent,Bytes Transmitted,IV Num Reads,IV Bytes Read,IV Num Writes,IV Bytes Written,CP Num Reads,CP Bytes Read,CP Num Writes,CP Bytes Written,FV Num Reads,FV Bytes Read,FV Num Writes,FV Bytes Written,Pixels Mapped,Pixels Blended,PSNR,File Name,L1-Hit,L1-Miss,L1-Load,L1-Store,L1-Evict,L2-Hit,L2-Miss,L2-Load,L2-Store,L2-Evict,L3-Hit,L3-Miss,L3-Load,L3-Store,L3-Evict,Mem-Hit,Mem-Miss,Mem-Load,Mem-Store,Mem-Evict
240 , 480 , 74999328 , 240 , 750643200 , 0 , 0 , 480 , 2752358400 , 60594 , 75293856 , 201600 , 250214400 , 56224 , 72866304 , 62553600 , 0 , inf,../recordings/acmmm2011/./video/bourne-13-dialog.m4v,365342784,152968640,323700224,72866304,73486336,26033088,126935616,152968704,73486336,73464832,113975616,12960000,126935616,73464832,12960000,12960000,0,12960000,12960000,0
240 , 472 , 104663284 , 236 , 738132480 , 0 , 0 , 472 , 2706485760 , 100429 , 126194256 , 198240 , 246044160 , 78172 , 101310912 , 61511040 , 0 , inf,../recordings/acmmm2011/./video/bourne-10-action.m4v,329685440,209673984,347991744,101310912,101948608,12100800,197573184,209673984,101948608,101920448,184613184,12960000,197573184,101920448,12960000,12960000,0,12960000,12960000,0
240 , 480 , 109909524 , 240 , 750643200 , 0 , 0 , 480 , 2752358400 , 91482 , 116558496 , 201600 , 250214400 , 82347 , 106721712 , 62553600 , 0 , inf,../recordings/acmmm2011/./video/bourne-2-moderate.m4v,333889024,217951744,357229568,106721712,107016256,13086592,204865216,217951808,107016256,107007296,191905216,12960000,204865216,107007296,12960000,12960000,0,12960000,12960000,0
240 , 408 , 335188456 , 204 , 1704591360 , 0 , 0 , 408 , 6250168320 , 89046 , 364732416 , 138720 , 568197120 , 81073 , 332075008 , 142049280 , 0 , inf,../recordings/acmmm2011/./video/captain-720.mov,209027072,691245056,900272128,332075008,332075008,15409152,675835904,691245056,332075008,332075008,343568384,332267520,675835904,332075008,332075008,332267520,0,332267520,332075008,0
240 , 480 , 418838924 , 240 , 2005401600 , 0 , 0 , 480 , 7353139200 , 107647 , 440922112 , 163200 , 668467200 , 101327 , 415035392 , 167116800 , 0 , inf,../recordings/acmmm2011/./video/limitless-720.mov,202518528,880984064,1083502592,415035392,415035392,38199296,842784768,880984064,415035392,415035392,427335680,415449088,842784768,415035392,415035392,415449088,0,415449088,415035392,0
240 , 408 , 779898564 , 204 , 3835330560 , 0 , 0 , 408 , 14062878720 , 92276 , 850415616 , 138720 , 1278443520 , 84274 , 776669184 , 319610880 , 0 , inf,../recordings/acmmm2011/./video/captain-1080.mov,423864320,1631248384,2055112704,776669184,776669184,50946048,1580302336,1631248384,776669184,776669184,802908160,777394176,1580302336,776669184,776669184,777394176,0,777394176,776669184,0
240 , 480 , 913171752 , 240 , 4512153600 , 0 , 0 , 480 , 16544563200 , 104655 , 964500480 , 163200 , 1504051200 , 98684 , 909471744 , 376012800 , 0 , inf,../recordings/acmmm2011/./video/limitless-1080.mov,454490112,1959032832,2413522944,909471744,909471744,97570816,1861462016,1959032832,909471744,909471744,950511616,910950400,1861462016,909471744,909471744,910950400,0,910950400,909471744,0
