946 , 34093014 , 3615085364 , 442368000 , 1769472000 , 1 , 4 , 1474560000 , 6488064000 , 162392162496 , 1293239059968 , 147456000 , 589824000 , 4096 , 16384 , 0 , 2304000 , 0 , inf,./recordings/acmmm2011//./1920x1200/desktop.mov
629 , 22680697 , 2406810364 , 442368000 , 1769472000 , 1 , 4 , 1474560000 , 6488064000 , 108538779648 , 862411997184 , 147456000 , 589824000 , 4096 , 16384 , 0 , 2304000 , 0 , inf,./recordings/acmmm2011//./1920x1200/digg.mov
1249 , 45001317 , 6463083164 , 442368000 , 1769472000 , 1 , 4 , 1474560000 , 6488064000 , 227411843328 , 1813396506624 , 147456000 , 589824000 , 4096 , 16384 , 0 , 2304000 , 0 , inf,./recordings/acmmm2011//./1920x1200/document.mov
1019 , 36721087 , 4359337476 , 442368000 , 1769472000 , 1 , 4 , 1474560000 , 6488064000 , 178521776704 , 1422275973632 , 147456000 , 589824000 , 4096 , 16384 , 0 , 2304000 , 0 , inf,./recordings/acmmm2011//./1920x1200/email.mov
1005 , 36217073 , 2650187340 , 442368000 , 1769472000 , 1 , 4 , 1474560000 , 6488064000 , 162897091200 , 1297278489600 , 147456000 , 589824000 , 4096 , 16384 , 0 , 2304000 , 0 , inf,./recordings/acmmm2011//./1920x1200/flickr.mov
1496 , 53893564 , 9813151924 , 79183872000 , 316735488000 , 1 , 4 , 263946240000 , 1161363456000 , 288642154176 , 2303238993408 , 26394624000 , 105578496000 , 4096 , 16384 , 0 , 412416000 , 0 , inf,./recordings/acmmm2011//./1920x1200/maps.mov
889 , 32040957 , 3414887780 , 442368000 , 1769472000 , 1 , 4 , 1474560000 , 6488064000 , 152845252416 , 1216863779328 , 147456000 , 589824000 , 4096 , 16384 , 0 , 2304000 , 0 , inf,./recordings/acmmm2011//./1920x1200/npr.mov
949 , 34201017 , 1913581884 , 442368000 , 1769472000 , 1 , 4 , 1474560000 , 6488064000 , 149198309888 , 1187688239104 , 147456000 , 589824000 , 4096 , 16384 , 0 , 2304000 , 0 , inf,./recordings/acmmm2011//./1920x1200/presentation.mov
1304 , 46981372 , 3069382652 , 442368000 , 1769472000 , 1 , 4 , 1474560000 , 6488064000 , 207928785152 , 1657532041216 , 147456000 , 589824000 , 4096 , 16384 , 0 , 2304000 , 0 , inf,./recordings/acmmm2011//./1920x1200/slideshow.mov
1498 , 53965566 , 6709985660 , 442368000 , 1769472000 , 1 , 4 , 1474560000 , 6488064000 , 264095607552 , 2106866620416 , 147456000 , 589824000 , 4096 , 16384 , 0 , 2304000 , 0 , inf,./recordings/acmmm2011//./1920x1200/xcode.mov
1052 , 37909120 , 3527978716 , 442368000 , 1769472000 , 1 , 4 , 1474560000 , 6488064000 , 176470834176 , 1405868433408 , 147456000 , 589824000 , 4096 , 16384 , 0 , 2304000 , 0 , inf,./recordings/acmmm2011//./1920x1200/youtube.mov
946 , 19262994 , 2203039572 , 248832000 , 995328000 , 1 , 4 , 829440000 , 3649536000 , 92542192768 , 737019782144 , 82944000 , 331776000 , 4096 , 16384 , 0 , 1296000 , 0 , inf,./recordings/acmmm2011//./1440x900/desktop.mov
629 , 12814897 , 1492153940 , 248832000 , 995328000 , 1 , 4 , 829440000 , 3649536000 , 62048251744 , 493068253952 , 82944000 , 331776000 , 4096 , 16384 , 0 , 1296000 , 0 , inf,./recordings/acmmm2011//./1440x900/digg.mov
1249 , 25426317 , 4086481068 , 248832000 , 995328000 , 1 , 4 , 829440000 , 3649536000 , 131308375200 , 1047149241600 , 82944000 , 331776000 , 4096 , 16384 , 0 , 1296000 , 0 , inf,./recordings/acmmm2011//./1440x900/document.mov
1019 , 20747887 , 2669012972 , 248832000 , 995328000 , 1 , 4 , 829440000 , 3649536000 , 101971656448 , 812455491584 , 82944000 , 331776000 , 4096 , 16384 , 0 , 1296000 , 0 , inf,./recordings/acmmm2011//./1440x900/email.mov
1005 , 20463113 , 1619352020 , 248832000 , 995328000 , 1 , 4 , 829440000 , 3649536000 , 92480927776 , 736529662208 , 82944000 , 331776000 , 4096 , 16384 , 0 , 1296000 , 0 , inf,./recordings/acmmm2011//./1440x900/flickr.mov
1496 , 30450544 , 5785808396 , 248832000 , 995328000 , 1 , 4 , 829440000 , 3649536000 , 164224051360 , 1310474650880 , 82944000 , 331776000 , 4096 , 16384 , 0 , 1296000 , 0 , inf,./recordings/acmmm2011//./1440x900/maps.mov
889 , 18103557 , 2178627796 , 78630912000 , 314523648000 , 1 , 4 , 262103040000 , 1153253376000 , 87880354528 , 699725076224 , 26210304000 , 104841216000 , 4096 , 16384 , 0 , 409536000 , 0 , inf,./recordings/acmmm2011//./1440x900/npr.mov
949 , 19324017 , 1231716988 , 248832000 , 995328000 , 1 , 4 , 829440000 , 3649536000 , 84956001280 , 676330250240 , 82944000 , 331776000 , 4096 , 16384 , 0 , 1296000 , 0 , inf,./recordings/acmmm2011//./1440x900/presentation.mov
1304 , 26545072 , 2005376532 , 248832000 , 995328000 , 1 , 4 , 829440000 , 3649536000 , 118956067872 , 948330782976 , 82944000 , 331776000 , 4096 , 16384 , 0 , 1296000 , 0 , inf,./recordings/acmmm2011//./1440x900/slideshow.mov
1498 , 30491226 , 4090610236 , 74649600000 , 298598400000 , 1 , 4 , 248832000000 , 1094860800000 , 150818191616 , 1203227772928 , 24883200000 , 99532800000 , 4096 , 16384 , 0 , 388800000 , 0 , inf,./recordings/acmmm2011//./1440x900/xcode.mov
